,,,,,,
"Генеральний директор ВП ""Рівненська АЕС"", член правління","CEO of separated subdivision ""Rivne NPP"", member of the Board",,,,"Chief Executive Officer of SS ""Rivne NPP"", Member of the Board",
"Генеральний директор ВП ""Хмельницька АЕС"", член правління","CEO of separated subdivision ""Khmelnytskyi NPP"", member of the Board",,,,"Chief Executive Officer of SS ""Khmelnytska NPP"", Member of the Board",
"Генеральний директор ВП ""Южно-Українська АЕС"", член правління","General Director of OP ""it is southern-the Ukrainian nuclear power plant"", member of the Board",,,,"Chief Executive Officer of SS ""South-Ukrainian NPP"", Member of the Board",
Генеральний прокурор України,The Prosecutor General of Ukraine,,,,General Prosecutor of Ukraine,
"Генеральний інспектор - директор з безпеки, член правління","The inspector General - security Director, member of the Board",,,,"Inspector General - Social Security Director, Member of the Board",
Глова Київського апеляційного адміністративного суду,The head of the Kyiv Administrative Court of Appeal,,,,Head of Kyiv Court of Appeal,
Гловний бухгалтер,Chief accountant,,,,Chief Accountant,
Голава Місії України при НАТО,The head of Mission of Ukraine to NATO,,,,Head of the Mission of Ukraine to NATO,
Голова,Chairman,,,,Head,
Голова  Апеляційного суду Закарпатської області,"President, Court of Appeal of the Transcarpathian region",,,,Head of the Court of Appeal of Zakarpattia region,
Голова  Київського апеляційного господарського суду,Chairman of the Kyiv commercial Court of Appeal,,,,Head of the Kyiv Economic Court of Appeal,
Голова Івано-Франківської обласної державної адміністрації,The Chairman of the Ivano-Frankivsk regional State administration,,,,Head of Ivano-Frankivsk Regional State Administration,
Голова Антимонопольного комітету України,The Chairman of the Antimonopoly Committee of Ukraine,,,,Head of the Anti-Monopoly Committee of Ukraine,
Голова Апеляйційного суду Дніпропетровської області,The head Protection Court of the Dnepropetrovsk region,,,,Head of the Court of Appeal of Dnipropetrovsk Oblast (Region),
Голова Апеляційного суду  Полтавської області,The President of the Court of Poltava region,,,,Head of Court of Appeal of Poltava Oblast (Region),
Голова Апеляційного суду Волинської області,The President of the Court of Volyn region,,,,Head of the Court of Appeal of Volyn Oblast (Region),
Голова Апеляційного суду Вінницької області,The President of the Court of Vinnytsia region,,,,Head of the Court of Appeal of Vinnytsia Oblast (Region),
Голова Апеляційного суду Запорізької області,The Chairman of the Appeal Court of Zaporizhzhya region,,,,Head of the Court of Appeal of Zaporizhia Oblast (Region),
Голова Апеляційного суду Київської області,The Chairman of the Appeal Court of Kyiv region,,,,Head of the Court of Appeal of Kyiv Oblast (Region),
Голова Апеляційного суду Кіровоградської області,The President of the Court of Kirovograd region,,,,Head of the Court of Appeal of Kirovohrad Oblast (Region),
Голова Апеляційного суду Луганської області,The Chairman of the Appeal Court of Lugansk region,,,,Head of the Court of Appeal of Luhansk Oblast (Region),
Голова Апеляційного суду Миколаївської області,The Chairman of Appellate Court of the Mykolaiv region,,,,Head of the Court of Appeal of Mykolaiv Oblast (Region),
Голова Апеляційного суду Одеської області,The Chairman of Appellate Court of Odessa region,,,,Head of the Court of Appeal of Odesa Oblast (Region),
Голова Апеляційного суду Рівненської області,The President of the Court of Rivne region,,,,Head of the Court of Appeal of Rivne Oblast (Region),
Голова Апеляційного суду Сумської області,President of the Appeal Court of the Sumy region,,,,Head of the Court of Appeal of Sumy Oblast (Region),
Голова Апеляційного суду Чернігівської області,The Chairman of the Court of Appeals of Chernihiv region,,,,Head of the Court of Appeal of Chernihiv Oblast (Region),
Голова Верховного Суду України,The Chairman of The Supreme Court of Ukraine,,,,Head of the Supreme Court of Ukraine,
Голова Верховної Ради Автономної Республіки Крим,The Chairman of The Verkhovna Rada of The Autonomous Republic of Crimea,,,,Head of the Parliament of Autonomous Republic of Crimea,
Голова Вищого адміністративного суду України,The Chairman of the Supreme Administrative Court of Ukraine,,,,Chairman of the Supreme Court of Appeal of Ukraine,
Голова Вищого господарського суду України,The Chairman of the Supreme economic Court of Ukraine,,,,Chairman of the Supreme Commercial Court of Ukraine,
Голова Вінницького апеляційного адміністративного суду,The Chairman of the Vinnitsa Administrative Court of Appeal,,,,Head of Vinnitsia Court of Appeal,
Голова Вінницького обласного територіального відділення Антимонопольного комітету України,The Chairman of the Vinnytsia regional Territorial  office of Antimonopoly Committee of Ukraine,,,,Head of Vinnitsia Oblast (Regional) Territorial Department of the Antimonopoly Committee of Ukraine ,
Голова Вінницької обласної державної адміністрації,The Chairman of the Vinnytsia regional State administration,,,,Head of Vinnitsia Regional State Administration,
Голова Державного агентства України з питань кіно,The Chairman of the State Agency of Ukraine for the movie,,,,Head of Ukrainian State Film Agency,
Голова Державного агентства автомобільних доріг України,The Chairman of the State road Agency of Ukraine,,,,Head of the State Office for Road Service of Ukraine,
Голова Державного агентства з енергоефективності та енергозбереження України,The Chairman of the State Agency on energy efficiency and energy saving of Ukraine,,,,Head of the State Agency on Energy Efficiency and Energy Saving of Ukraine,
Голова Державного агентства з питань електронного урядування,The Chairman of the State Agency for e-government,,,,Head of the State Agency for E-government,
Голова Державного агентства з інвестицій та управління національними проектами України,The Chairman of the State Agency for investment and national projects of Ukraine,,,,Head of the Regional Center for Investment and Development of Ukraine,
Голова Державного агентства земельних ресурсів України,The Chairman of the State Agency of land resources of Ukraine,,,,Head of the State Agency for Land Resources of Ukraine,
Голова Державного агентства резерву України,The Chairman of the State Agency of reserve of Ukraine,,,,Head of the State Agency of Reserves of Ukraine,
Голова Державного агентства рибного господарства України,The Chairman of the State Agency of fisheries of Ukraine,,,,Head of the State Agency of Fisheries of Ukraine,
Голова Державного космічного агентства України,The Chairman of the State space Agency of Ukraine,,,,Head of the State Space Agency of Ukraine,
Голова Державного фонду сприяння місцевому самоврядуванню в Україні,The Chairman of the State Fund for local self-government in Ukraine,,,,Fund for Assistance of local self-government,
Голова Державної авіаційної служби України,The Chairman of the State aviation Service of Ukraine,,,,Head of the the State Aviation Service of Ukraine,
Голова Державної архітектурно-будівельної інспекції України,The Chairman of the State architectural and construction inspection of Ukraine,,,,Head of the State Architectural and Construction Inspectorate of Ukraine,
Голова Державної виконавчої служби України,The Chairman of the State Executive Service of Ukraine,,,,Head of the State Bailiff Service of Ukraine,
Голова Державної екологічної інспекції України - Головний державний інспектор України з охорони навколишнього природного середовища,"The Chairman of the State ecological inspection of Ukraine, Chief State inspector of Ukraine on the protection of the natural environment",,,,Head of the State Ecological Inspection of Ukraine - State Inspector on Environmental Protection of Ukraine,
Голова Державної екологічної інспекції України Головний державний інспектор України з охорони навколишнього природного середовища,"The Chairman of the State ecological inspection of Ukraine, Chief State inspector of Ukraine on the protection of the natural environment",,,,Head of the State Ecological Inspection of Ukraine - State Inspector on Environmental Protection of Ukraine,
Голова Державної казначейської служби України,The Chairman of the State Treasury Service of Ukraine,,,,Head of the State Treasury Service of Ukraine,
Голова Державної міграційної служби України,The Chairman of the State migration Service of Ukraine,,,,Head of the State Migration Service of Ukraine,
Голова Державної податкової служби України,The Chairman of the State tax Service of Ukraine,,,,Head of the State Fiscal Service of Ukraine,
Голова Державної прикордонної служби України,The Chairman of the State border Service of Ukraine,,,,Head of the State Border Guard Service of Ukraine,
Голова Державної пробірної служби України,The Chairman of the State assay Service of Ukraine,,,,Head of the State Assay Service of Ukraine,
Голова Державної реєстраційної служби України,The Chairman of the State registration Service of Ukraine,,,,Head of the State Registration Service of Ukraine,
Голова Державної служби України з лікарських засобів,The Chairman of the State Service of Ukraine on medicinal products,,,,Head of the State Administration of Ukraine on Medical Products,
Голова Державної служби України з питань захисту персональних даних,The Chairman of the State Service of Ukraine on personal data protection,,,,Head of the State Service of Ukraine on Personal Data Protection,
Голова Державної служби України з питань праці,The Chairman of the State Service of Ukraine on labour,,,,Head of the State Labour Service of Ukraine,
Голова Державної служби експортного контролю України,The Chairman of the State Service of export control of Ukraine,,,,Head of the State Service of Export Control of Ukraine,
Голова Державної служби зайнятості України,The Chairman of the State employment Service of Ukraine,,,,Head of the State Employment Service of Ukraine,
Голова Державної служби спеціального зв'язку та захисту інформації,The Chairman of the State Service for special communication and information protection,,,,Head of the State Service of Special Communication and Information Protecion of Ukraine,
Голова Державної служби фінансового моніторингу України,The Chairman of the State Service for financial monitoring of Ukraine,,,,Head of the State Financial Monitoring Service of Ukraine,
Голова Державної служби інтелектуальної власності України,The Chairman of the State intellectual property Service of Ukraine,,,,Head of the State Intellectual Property Service of Ukraine,
Голова Державної судової адміністрації,The Chairman of the State judicial administration,,,,Head of the State Judicial Administration,
Голова Державної фінансова інспекції України,The Chairman of the State financial inspection of Ukraine,,,,Head of the State Financial Inspection of Ukraine,
Голова Державної фінансової інспекції України,The Chairman of the State financial inspection of Ukraine,,,,Head of the State Financial Inspection of Ukraine,
Голова Державної інспекції України з безпеки на морському та річковому транспорті,The Chairman of the State Inspectorate of Ukraine on safety on sea and river transport,,,,Head of the State Inspection of Ukraine on Safety at Sea and River Transport,
Голова Державної інспекції України з контролю за цінами,The Chairman of the State inspection of Ukraine on price control,,,,Head of the State Inspection on Price Control of Ukraine,
Голова Державної інспекції сільського господарства України,The Chairman of the State Inspectorate of agriculture of Ukraine,,,,Head of the State Agriculture Inspectorate of Ukraine,
Голова Державної інспекції ядерного регулювання України,The Chairman of the State nuclear regulatory Inspectorate of Ukraine,,,,Head of the State Nuclear Regulatory Inspectorate of Ukraine,
Голова Державої архівної служби України,The Chairman of the State archival Service of Ukraine,,,,Head of the State Archives of Ukraine,
Голова Державої служби з питань інвалідів та ветеранів України,The Chairman of the Public Service concerning disabled people and veterans of Ukraine,,,,Head of the State Service of Ukraine for the Disabled and Veterans,
Голова Держспецзв'язку,Chairman Direspect'yazku,,,,Head of State Service of Special Communication and Information Protecion of Ukraine,
Голова Дніпропетровського апеляційного адміністративного суду,The Chairman of the Dnipropetrovsk Administrative Court of Appeal,,,,Head of Dnipropertrovsk Court of Appeal,
Голова Дніпропетровського апеляційного господарського суду,The Chairman of the Dnepropetrovsk Appeal economic Court,,,,Head of Dnipropertrovsk Commercial Court of Appeal,
Голова Дніпропетровської обласної державної адміністрації,The Chairman of the Dnipropetrovsk regional State administration,,,,Head of Dnipropertrovsk Regional State Administration,
Голова Донецького апеляційного адміністративного суду,Chairman of the Donetsk Administrative Court of Appeal,,,,Head of Donetsk Court of Appeal,
Голова Донецької обласної державної адміністрації,Chairman of Donetsk regional State administration,,,,Head of Donetsk Regional State Administration,
Голова Житомирського апеляційного адміністративного суду,The head of the Zhytomyr Administrative Court of Appeal,,,,Head of Zhytomyr Court of Appeal,
Голова Запорізької обласної державної адміністрації,Chairman of Zaporizhzhya regional State administration,,,,Head of Zaporizhia Regional State Administration,
Голова Колегії політичної партії,The Board Chairman of a political party,,,,Chairman of the Board of Political Party,
Голова Конституційного Суду України,The Chairman of The Constitutional Court of Ukraine,,,,Head of Contitutional Court of Ukraine,
Голова Львівського апеляційного адміністративного суду,The Chairman of the Lvov Appellate Administrative Court,,,,Head of Lviv Court of Appeal,
Голова Львівського апеляційного господарського суду,The Chairman of the Lvov Appeal economic Court,,,,Head of Lviv Commercial Court of Appeal,
Голова Львівської обласної державної адміністрації,The head of Lviv regional State administration,,,,Head of Lviv Regional State Administration,
Голова Ліквідаційної комісії,The Chairman of the Liquidation Commission,,,,Head of Liquidation Commission,
Голова Національного Секретаріату Партії,The Head of The National Secretariat of The Party,,,,Head of National Secretary of the Party,
Голова Національного агентства України з питань державної служби,The Chairman of the National Agency of Ukraine on civil Service,,,,Head of the National Agency of Ukraine on Civil Service,
Голова Національного агентства з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу та реалізації інфраструктурних проектів,The Chairman of the National Agency on preparation and holding in Ukraine of finals of European championship of 2012 on football and the implementation of infrastructure projects,,,,Head of the National Agency on Preparation and Holding of Finals of the 2012 Football European Cup in Ukraine and the Implementation of Infrastructure Projects,
Голова Національної комісії з питань захисту суспільної моралі,The Chairman of the National Commission for the protection of public morality,,,,Head of the National Expert Commission of Ukraine on the Protection of Public Morality,
Голова Національної ради з питань телебачення і радіомовлення України,Chairman of the National Council on television and radio broadcasting of Ukraine,,,,Head of the National Council of Television and Radio Broadcasting of Ukraine,
Голова Національої служби посередництва і примирення,Chairman Nazionale Service of mediation and reconciliation,,,,Head of the National Mediation and Conciliation Service,
Голова Одеського апеляційного адміністративного суду,The Chairman of the Odessa Appellate Administrative Court,,,,Head of Odessa Court of Appeal,
Голова Одеської обласної державної адміністрації,The Chairman of the Odessa regional State administration,,,,Head of Odessa Regional State Administration,
Голова Партії,The Chairman of The Party,,,,Head of the Party,
Голова Полтавської обласної державної адміністрації,The Chairman of the Poltava regional State administration,,,,Head of Poltava Regional State Administration,
Голова Політичної Ради,The Chairman of The Political Council,,,,Head of the Political Council,
Голова Політичної Ради Партії,The Chairman of The Political Council of The Party,,,,Head of the Political Council of the Party,
Голова Політичної ради Партії,The Chairman of the Political Council of the Party,,,,Head of the Political Council of the Party,
Голова Правління,Chairman of The Board,,,,Head of the Board ,
Голова Правління Національного банку України,Chairman of the Board of the National Bank of Ukraine,,,,Head of the National Bank of Ukraine,
Голова Президії Партії,Chairman of The Presidium of The Party,,,,Chairman of the Presidium of the Party,
Голова Ради,Chairman of The Board,,,,Chairman of the Board,
Голова Ради Національного банку України,Chairman of the Board of the National Bank of Ukraine,,,,Chairman of the Board of the National Bank of Ukraine,
Голова Ради Партії,Chairman of The Board of The Party,,,,Chairman of the Board of the Party,
Голова Ради міністрів Автономної Республіки Крим,The Chairman of the Council of Ministers of the Autonomous Republic of Crimea,,,,Head of the Council of Ministers of the Autonomous Republic of Crimea,
Голова Рахункової палати,The Chairman of the accounts chamber,,,,Head of Accounting Chamber,
Голова Рівненського апеляційного господарського суду,The head of the Rivne economic Court of Appeal,,,,Head of Rivne Commercial Court of Appeal,
Голова Служби безпеки України,The Chairman of the security Service of Ukraine,,,,Head of the Security Service of Ukraine,
Голова Служби зовнішньої розвідки України,The Chairman of the foreign intelligence Service of Ukraine,,,,Head of the Foreign Intelligence Service of Ukraine,
Голова Сумської обласної державної адміністрації,The Chairman of the Sumy regional State administration,,,,Head of Sumy Regional State Administration,
Голова Тернопільської обласної державної адміністрації,The Chairman of the Ternopol regional State administration,,,,Head of Ternopil Regional State Administration,
Голова Фонду державного майна України,The Chairman of the State property Fund of Ukraine,,,,Head of State Property Fund of Ukraine,
Голова Харківського апеляційного адміністративного суду,The Chairman of the Kharkiv Appellate Administrative Court,,,,Head of Kharkiv Appeal Court,
Голова Харківського апеляційного господарського суду,The Chairman of the Kharkov Appeal economic Court,,,,Head of Kharkiv Appeal Commercial Court,
Голова Харківської обласної державної адміністрації,The head of Kharkiv regional State administration,,,,Head of Kharkiv Regional State Administration,
Голова Центральної виборчої комісії,The Chairman of the Central election Commission,,,,Head of Central Election Commission,
Голова Чернівецької обласної державної адміністрації,Head of Chernivtsi regional State administration,,,,Head of Chernivci Regional State Administration,
Голова Чернігівської обласної державної адміністрації,The Chairman of the Chernihiv regional State administration,,,,Head of Chernigiv Regional State Administration,
Голова апеляційного суду Харківської області,President of the Appeal Court of the Kharkov region,,,,Head  of Court of Appeal of Kharkiv Oblast (Region),
Голова апеляційного суду Херсонської області,President of the Appeal Court of the Kherson region,,,,Head of Court of Appeal of Kherson Oblast (Region),
Голова апеляційного суду Хмельницької області,The President of the Court of Hmelnitsky region,,,,Head of Court of Appeal of Khmelnytskyi Oblast,
Голова відділення,Chairman of the Department,,,,Head of the Division,
Голова наглядової ради,Chairman of the Supervisory Board,,,,Chairman of Supervisory Board,
Голова партії,The Chairman of the party,,,,Chairman of the Party,
Голова правляння,The Chairman of the Board,,,,Chairman of the Board,
Голова правління,Chairman of the Board,,,,Chairman of the Board,
Голова правління Пенсійного фонду України,Chairman of the Board of the Pension Fund of Ukraine,,,,Head of the Pension Fund of Ukraine,
"Голова профкому ДП ""НАЕК ""Енергоатом"", член правління","Chairman of the Union of SE ""NNEGC ""Energoatom"", member of the Board",,,,"Chairman of the Trade Union Сommittee of ""NNEGC ""Energoatom"", member of the Board",
Голова ревізійної комісії,Chairman of the audit Committee,,,,Head of the Audit Committee,
Голова ревізійонї комісії,The Chairman of the Commission revesion,,,,Head of the Audit Committee,
Голова суду,The President of the Court,,,,Head of the Court,
Головний Бухгалтер,Chief Accountant,,,,Chief Accountant,
Головний бухгалтер,Chief accountant,,,,Chief Accountant,
Головний бухгалтер - начальник бухгалтерсько-ревізійної служби,Chief accountant - head of accounting and audit Service,,,,"Chief Accountant, Head of Service of Accounting and Audit",
"Головний бухгалтер, член правління","Chief accountant, member of the Board",,,,"Chief Accountant, member of the Board",
Головний енергетик,Chief power engineer,,,,Chief Power Engineer,
"Головний спеціаліст відділу цінової політики на морському та річковому транспорті Департаменту державної політики в галузі морського і річкового транспорту Мінінфраструктури, член наглядової ради",Chief specialist of the Department of price policy on Maritime and river transport of the Department of State policy for Maritime and river transport,,,,"Chief Specialist of the Department of Price Policy on Іea and river transport of the Department of Government Policy of Sea and River Transport of Ministry of Infrastructure, Member of the Supervisory Board",
Головний інженер,Chief engineer,,,,Chief Engineer,
Державний уповноважений Антімонопольного комітету України,State Commissioner Antimonopoles Committee of Ukraine,,,,State Comissioner of Department of Antimonopoly Committee of Ukraine,
Директор,Director,,,,Director,
Директор Інституту законодавства Верховної Ради України,Director of the Institute of legislation of Verkhovna Rada of Ukraine,,,,Director of Legislation Institute of the Verkhovna Rada (Parliamenr) of Ukraine,
"Директор ВП ""Аварійно-технічний центр""","Director OP ""Emergency and technical center""",,,,"Director of SS (Separated Subdivision) ""Emergency and Technical Center""",
"Директор ВП ""Авторемонтсервіс""","Director OP ""Autoresponders""",,,,"Director of SS (Separated Subdivision) ""Avtoremontservis""",
"Директор ВП ""Донузлавська АЕС""","Director OP ""Donuzlav NPP""",,,,"Director of SS (Separated Subdivision) ""Donuzlav AES""","Director of SS (Separated Subdivision) ""Donuzlav Nuclear Power Plant"""
"Директор ВП ""Конструкторське бюро ""Атомприлад""","Director OP ""Design Bureau ""Acompiled""",,,,"Director of SS (Separated Subdivision) ""Design Bureau ""Atomprylad""",
"Директор ВП ""Науково-технічний центр""","The Director of se ""Scientific-technical center""",,,,"Director of SS  (Separated Subdivision) ""Scientific and Technical Center""",
"Директор ВП ""Складське господарство""","Director OP ""Warehousing""",,,,"Director of SS  (Separated Subdivision) ""Skladske Gospodarstvo""",
"Директор ВП ""Управління справами""","Director OP ""case Division """,,,,"Directo of SS  (Separated Subdivision) ""Upravlinniia Spravamy""",
Директор Департамент фізичної культури та не олімпійських видів спорту Міністерства молоді та спорту України,The Director of the Department of physical culture and non-Olympic sports of the Ministry of youth and sports of Ukraine,,,,Director of the Department of Physical Education and Non-Olympic Sports of the Ministry of Youth and Sports of Ukraine,
Директор Департаменту Антимонопольного комітету України,The Director of the Department of the Antimonopoly Committee of Ukraine,,,,Director of  the Department of Antimonopoly Committee of Ukraine,
Директор Департаменту Державного агентства України з управління державними корпоративними правами та майном,The Director of the Department of the State Agency of Ukraine for Division  of State corporate rights and property,,,,Director of the Department of the State Agency of Ukraine on Governing of the State Corporate Rights and Properties,
Директор Департаменту Державної митної служби України,The Director of the Department of the State customs Service of Ukraine,,,,Director of the State Customs Service of Ukraine,
Директор Департаменту Державної реєстраційної служби України,The Director of the Department of the State registration Service of Ukraine,,,,Director of the State Registration Service of Ukraine,
Директор Департаменту Державної реєстраційної служби України - керуючий справами,The Director of the Department of the State registration Service of Ukraine - business Manager,,,,Director of the State Registration Service of Ukraine - Executive Administrator,
Директор Департаменту Державної служби спеціального зв’язку та захисту інформації України,The Director of the Department of State Service of special communication and information protection of Ukraine,,,,Director of the State Service of Special Communication and Information Protecion of Ukraine,
Директор Департаменту Державної фінансової інспекції України,The Director of the Department of the State financial inspection of Ukraine,,,,Director of the State Financial Inspection of Ukraine,
Директор Департаменту Міністерства екології та природних ресурсів України,The Director of the Department of the Ministry of ecology and natural resources of Ukraine,,,,Director of the Department of the Ministry of Ecology and Natural Resources of Ukraine,
Директор Департаменту Міністерства надзвичайних ситуацій України,The Director of the Department of the Ministry of emergency situations of Ukraine,,,,Director of the Department of the State Emergency Service of Ukraine,
Директор Департаменту Міністерства оборони України,The Director of the Department of the Ministry of defense of Ukraine,,,,Director of the Department of the Ministry of Defense of Ukraine,
Директор Департаменту Міністерства охорони здоров’я,The Director of the Department of the Ministry of health,,,,Director of the Department of the Ministry of Healthcare of Ukraine,
Директор Департаменту Міністерства охорони здоров’я України,The Director of the Department of the Ministry of health of Ukraine,,,,Director of the Department of the Ministry of Healthcare of Ukraine,
Директор Департаменту Міністерства промислової політики України,The Director of the Department of the Ministry of industrial policy of Ukraine,,,,Director of the Department of the Ministry of Industrial Policy of Ukraine,
Директор Департаменту Міністерства соціальної політики України,The Director of the Department of the Ministry of social policy of Ukraine,,,,Director of the Department of the Ministry of Social Policy of Ukraine,
Директор Департаменту Міністерства фінансів України,The Director of the Department of the Ministry of Finance of Ukraine,,,,Director of the Department of the Ministry of Finance of Ukraine,
Директор Департаменту Міністерства фінансів України - головний бухгалтер,The Director of the Department of the Ministry of Finance of Ukraine - the chief accountant,,,,Director of the Department of the Ministry of Finance of Ukraine - Chief Accountant,
Директор Департаменту адміністративно-господарського забезпечення Державної служби статистики України,The Director of the Department of Administrative and economic support of the State statistics Service of Ukraine,,,,Director of the Department of Administrative and Commercial Support of the State Statistics Service of Ukraine,
"Директор Департаменту аналізу, стратегії та розвитку законодавства Національної комісії з цінних паперів та фондового ринку","Director of analysis, strategy and development of the legislation of the National Commission on securities and stock market",,,,"Director of the Department of Analysis, Strategy and Development of Legislation of the National Securities And Stock Market Commission",
Директор Департаменту антикорупційного законодавства та законодавства про правосуддя Міністерства юстиції України,The Director of the Department of anti-corruption legislation and legislation on Justice the Ministry of Justice of Ukraine,,,,Director of the Department of Anti-Corruption Legislation and Legislationon on Jusice of the Ministry of Justice of Ukraine,
Директор Департаменту боротьби зі злочинами пов’язаними з торгівлею людьми Міністерства внутрішніх справ України,The Director of the Department of fight against crimes connected with human trafficking of the Ministry of internal Affairs of Ukraine,,,,Director of the Department of Fight Against Crimes Connected with Human Trafficking of the Ministry of Internal Affairs of Ukraine,
Директор Департаменту бухгалтерської служби та ресурсного забезпечення - головний бухгалтер Державної міграційної служби України,The Director of the Department of accounting Service and resource provision - the chief accountant of the State migration Service of Ukraine,,,,Director of the Department of Accounting Service and Resource Supply - Chief Accountant of the State Migration Service of Ukraine,
Директор Департаменту ветеринарної медицини Державної ветеринарної та фітосанітарної служби України,The Director of the Department of veterinary medicine of the State veterinary and phytosanitary Service of Ukraine,,,,Director of the Department of Veterinary Medicine of the State Veterinary and Phytosanitary Service of Ukraine,
Директор Департаменту взаємодії з органами влади Міністерства юстиції України,The Director of the Department of interaction with authorities of the Ministry of Justice of Ukraine,,,,Director of the Department of Interaction with Authorities of the Ministry of Justice of Ukraine,
Директор Департаменту взаємодії та координації системи фінансового моніторингу Державної служби фінансового моніторингу України,The Director of the Department of interaction and coordination of the system of financial monitoring of the State Service for financial monitoring of Ukraine,,,,Director of the Department of Interaction and Coordination of the System of Financial Monitoring of the State Financial Monitoring Service of Ukraine,
"Директор Департаменту діловодства, формування, зберігання та обліку Національного архівного фонду Державної архівної служби України","Director of Department of office-work, forming, storage and accounting of the National archival Fund of the State archival Service of Ukraine",,,,"Director of the Department of Office Work, Assembly, Storage and Accounting of the National Archive Fund of the State Archival Service of Ukraine",
Директор Департаменту екологічного контролю природних ресурсів - старший державний інспектор України з охорони навколишнього природного середовища Державної екологічної інспекції України,The Director of the Department of environmental control of natural resources - the senior State inspector of Ukraine on the protection of the natural environment of the State ecological Inspectorate of Ukraine,,,,"Director of the Department of Security of Ecological Control and Natural Resources, Senior Inspector of Ukraine on the Protection of Natural Environment of the State Ecological Inspection of Ukraine",
