name,edrpou
"твбв філії луганського облуправління ат ""ощадбанк""",32129
ат ощадбанк харківська філія,32129
ощадбанк філія 54/83/058 м.люботин,32129
відкрите акціонерне товариство державний ощадний банк україни рівненське обласне управління філія №044,32129
"головне управління по м.києву та київській області ат ""ощадбанк""",32129
"філія-тернопільське обласне управління пат ""державний ощадний банк """,32129
"філія одеського оу ат ""ощадбанк""",32129
"ват ""ощадний банк""",32129
"відкрите акціонерне товариство""державний ощадний банк україни""",32129
"твбв №10001/0151 філії - вінницького обласного управління ат ""ощадбанк"", м.могилів-подільський",32129
"ат ""державний ощадний банк україни"" твбв №10024/046 м. чернігів",32129
ощадбанк філія 3139/03 токмацьке відділення в смт чернігівка,32129
"рівненська філія ат ""ощадбанк""",32129
"філія головного управління по м.києву та київській обл. пат ""державний ощадний банк україни""",32129
"""ощадбанк"", твбв №10019/027",32129
"філія кіровоградського обласного управління ат ""ощадбанк""",32129
"твбв №10017/0151 філії рівненського обласного управління №10017 ат ""ощадбанк""",32129
хоу ат державний ощадний банк україни 10020/0506,32129
"ат ""ощад банк україни""",32129
"ат ""ощадбанк"" філія львівське обласне управління",32129
відділення ощадбанку україни,32129
"твбв №100222/0107 філія хоу ат ""ощадбанк""",32129
"філія ""твбв № 10024/0131 філії - чернігівське обласне управління ат ""державний ощадний банк україни""",32129
ощадбанк філія по м.києву та київській області,32129
"хоу ват ""ощадбанк"" твбв 10020/0334",32129
"дп ""ощадбанк""",32129
ат держощадбанк твбв№10024/0118 ф-я чоу,32129
"твбв №1026/0198 філії гу по м.києву і київській області ат ""ощадбанк""",32129
"управління пат ""державний ощадний банк україни""",32129
косівське відділення акціонерного товариства ощадбанк,32129
"публічне акціонерне товариство ""ощадний банк україни""",32129
державний ощадний банк твбв №10026/0559,32129
"веселівське відділення пат ""ощадбанк"" №10007/0221",32129
"львівське обласне відділення ат ""ощадбанк"" (твбв № 10013/0226)",32129
"головне управління ат ""ощадбанк"" по м. києву і київській області",32129
теофіполь твбв 122 58 ат ощадбанк,32129
"філія львівське оуат ""ощадбанк""",32129
",ат ""ощадбанк""",32129
"філія -івано-франківське обласне управління ат ""ощадбанк""",32129
вознесенське відділення ощадбанку,32129
"державний ощадний банк україни,24321, м.ладижин, вул.процишина,7/2",32129
"кіровоградське обласне управління ат ""ощадбанк""",32129
"тф тоу ат""ощадбанк""",32129
ат ощадбанк чернівецька філія,32129
"твбв №10013/0337 філії львівського обласного управління акціонерного товариства ""ощадбанк""",32129
"ат ""ощадбанк"" вул.центральна площа,8",32129
"філія луганське оу ат "" ощадбанк""",32129
крижопільський ощадбанк,32129
відділення ощадбанку в мурованих курилівцях,32129
"твбв №10001/061 філії вінницьке обласне управління ат ""ощадбанк"".",32129
"філія тернопільське районне відділення №7939 ват ""державний ощадний банк україни""",32129
"філія-івано-франківське обласне управління ат ""ощадбанк""",32129
"фiлiя - хмельницьке обласне управлiння ат ""ощадбанк""",32129
"доу ат""ощадбанк""",32129
"гу по м. києву та київській області ат""ощадбанк""",32129
"токмацьке відділення бв №10007/0242 фзоу ат ""ощадбанк""",32129
"територіально відокремлене безбалансове відділення №10003/0383 публічного акціонерного товариства ""державний ощадний банк україни""",32129
ат ощадбанк ковельська філія,32129
"філія - гу по м.києву та київській області ат""ощадбанк""",32129
"твбв №10019/041 філії - тернопільське облуправління ат ""ощадбанк""",32129
"філія- приморське відділення №5360 ват ""державний ощадний банк україни""",32129
теребовлянське відділення №10019/02 ощадбанк,32129
ощадбанк м.первомайськ харківська область,32129
богунське відділення державного ощадного банку україни,32129
"ат ""державний ощадний банк україни"" м. харків",32129
"твбв філія полтавського управління ат ""ощадбанк""",32129
"ат ""дежавний ощадний банк україни""",32129
твбв ощадного банку україни № 10022/0100,32129
"тб бв №10024/0235 ""ощадбанк""",32129
"ат""ощадбанк"" м.вінниця",32129
ат державний ощадний банк україни твбв 1007/0311,32129
твбв № 100/0137 філії кіровоградського обласного управління ат ощадбанк,32129
"філія- тернопільське управління ат""ощадбанк""",32129
"твбв ""ощадбанк"" 10003",32129
"пат ,,державний ощадний банк україни''",32129
"№10005/029 філія-житомирське оу ат ""ощадбанк""",32129
"пат ""державній ощадний банк україни""",32129
хоу ат ощад банк,32129
"твбв філії житомирського обласного управління ат ""державний ощадний банк україни"" , пат державний ощадний банк україни""",32129
"філія ""тернопільського обласного управління ат ""ощадбанк""",32129
"твбв № 10016/022 філії полтавського облуправління "" ощадбанк""",32129
"філія - хмельниццьке обласне управління ат ""ощадбанк""",32129
тв бв філія ощадбанк,32129
"твбв №10026/066 філії - гу по м.києву та київській обл. ат ""ощадбанк""",32129
ват держощадбанк (вклади срср),32129
"твбв 10007/0339 ват ""ощадбанк""",32129
філія львівське оу твбв №10013/0257 м. сокаль ощадбанк,32129
"філія - житомирське обласне управління ат""ощадбанк""",32129
"твбв №10026/066 філії - гу по м. києву та київській області ат ""ощадбанк""",32129
"тв бв №10018/0108 м.конотоп філія соу ат ""ощадбанк""",32129
"вінницьке обласне управління ат ""ощадбанк""",32129
"філія - житомирське оу ат ""ощадбанк""",32129
"ат ""ощадбанк"" твбв № 10005/03 м. овруча",32129
"пат ""державний ощадний банк"" м. херсон",32129
"зоу ат ""ощадбанк"" № 10006/013",32129
"філія-закарпатське обласне управління публічного акціонерного товариства ""державний ощадний банк україни""",32129
пат державний ощадній банк україни,32129
"головне управління по м.києву та київській області твбв №10026/0064 пат ""ощадбанк""",32129
"пат""державний ощадний банк україни",32129
"хмельницьке обласне управління ""державний ощадний банк україни""",32129
"ат ощадбанк, рівненська філія",32129
"пат ""державний ощадний банк україни"" в особі якого діє світловодське твбв №10010/0114 філії-кіровоградське обласне управління",32129
"філія - миколаївське обласне управління пат ""державний ощадний банк україни""",32129
монастириське відділення ощадбанку №10019/051,32129
філія чернігівське областне управління ат ощадбанк,32129
"твбв №10019/044 філія тернопільського обласного управління ат ""ощадбанк"" м.шумськ",32129
ф/кіровоградське обласне ат ощадбанк,32129
ощадбанк україни (вклад срср),32129
"бобровицьке твбв №10024/0136 філії чоу ат ""ощадбанк""",32129
"філія-вінницьке обласне управління акціонерне товариство ""ощадбанк""",32129
рат ощадбанк україни,32129
"твбв № 10026/ 0016 філії - гу по м. києву та київській області пат ""державний ощадний банк україни""",32129
"твбв №10023/017 філія -черкаського обласного управління ат ""ощадбанк""",32129
"пат ""державний ощадбанк"" ураїни",32129
"глибоцьке відділення пат ""державний ощадний банк україни""",32129
публічне акціонерне товариство ощадбанк,32129
"твбв № 10018/059 філії-сумського обласного управління ат ""ощадбанк""",32129
"ат ""ощадбанк"" твбв 10024/0131",32129
"філія чернігівського обласного управління ат ""ощадбанк""",32129
"твбв№ 10016/0127 філія -полтавське обласне управління ат ""ощадбанк""",32129
"ват ""ощад банк""",32129
філіятернопільське обласне управління пат державний ощадний банк україна,32129
"головне управління пат ""ощадбанк"" по м.києву та київській області",32129
"твбв № 10020/0365 філія харківського обласного управління ат ""ощадбанк""",32129
"публічне акціонерне товариство ""державний ощадний банк україни"" (ат ""ощадбанк"") (вклад сбербанка срср)",32129
"твбв №10026/0198 філії-гу по. м. києву та київській оюласті ат ""ощадбанк""",32129
"філія-чернівецьке обласне управління публічного акціонерного товариства ""державний ощадний банк україни"", філія №048",32129
філія чернігівське обласне управління пат чернігівський ощадний банк україни,32129
твбв № 10014/048 ощадбанку смт березнегувате миколаївської обл.,32129
"філія луганського областого управління ат ""ощадбанк"" тв бв №10012/087 м. лисичанськ",32129
"філія полтавського обласного управління ат ""ощадбанк"" твбз 10016/0201",32129
"ат ""ощадбанк"" твбв №10004/01",32129
"ат ""державний ощадбанк україни"" - філія гу по м. києві та київської області",32129
"твбв №10024/0211 чернігівське обласне управління пат ""державний ощадний банк україни""",32129
"ват "" державний ощадний банк україни""",32129
"ват ""державний ощадний банк україни"" філія чернігівське обласне управління",32129
рогатинське відділення ощадбанку,32129
"твбв №10026/0773фшдшї-головного управління по м.києву та київській області ат ""ощадбанк""",32129
"філія - чернігівське обласне управління ат ""ощадбанк""",32129
"твбв №10026/0198 філії - гу по м.києву та київської обл. ат №ощадбанк""",32129
"філія волинське обласне відділення ат ""ощадбанк""",32129
"млинівське тв бв публічного акціонерного товариства ""державний ощадний банк україни""",32129
"тввб№1003/526 ""ощадбанк""",32129
"публічне акціонерне товариство ""державний ощадний банк украіни""",32129
"твбв №10026/0198 філії гу по м.києву та київській обл. ат ""ощадбанк""",32129
"ат ""ощадбанк"" твбв №10019/08",32129
відділення ощадного банку у м.червонограді,32129
"філія- чернігівське обласне управління пат ""державний ощадний банк україни""",32129
"філія- одеське обласне управління пат ""ощадбанк""",32129
"ат ""ощадбанк"" компенсація вкладів срср",32129
"твбв № 10023/0391 філії черкаського обласного управління ат ""ощадбанк""",32129
фдоу ощадбанк опч тв бв iii 10003/0595,32129
ат ощадний банк україни,32129
"філія одеського оу ат""ощадбанк""",32129
"ат ""ощадбанк"" м. лиман донецької області",32129
"філія-черкаське обасне відділення пат ""ощадбанк""",32129
"твбв №10013/0179 ат ""ощадний банк""",32129
"твбв №10020/0403 філії - харківського обласного управління ат ""ощадбанк""",32129
коростенське відділення ощадбанку,32129
"запорiзьке обласне управлiння ат ""ощадбанк""",32129
"червоноградське відділення ""ощадний банк""",32129
"твбв №10015/0414 філії-одеське обласне управління ат ""ощадбанк""",32129
ощадбанк компенсаційні виплати колишнього срср,32129
"ат ""ощадбанк"" костопіль",32129
"філія - кіровоградське обласне управління публічного акціонерного товариства ""державний ощадний банк україни""",32129
"ват ""державний ощадний банк україни"" філія солом'янське відділення №5445",32129
"твбв ""ощадбанк"" відділення №10020/0475",32129
"ат"" ощадбанк """,32129
"городоцьке твбв-10022/0100 пат ""державний ощадний банк україни""",32129
філія полтавське обласне управління ат ощадний банк,32129
твбв №10026/0533-гу по м. києву та київській області ат ощадбанк,32129
"пат ощадний банк україни у вінницькій області, м. вінниця",32129
державний банк україни ощадбанк,32129
"горностаївське відділення хоу ат ""ощадбанк""",32129
лмв пат державний ощадний банк україни,32129
"філія-кіровоградське обласне управління ат ""ощадбанк"" твбв 10010/047",32129
"зоу ат ""ощадбанк"" філія твбв №1007/0261",32129
публічне акціонерне товариство державний ощадний банк,32129
"пат ""державний ощадний банк ""україна""",32129
любешівське твбв ат ощадбанк,32129
"пад ""державний ощадний банк україни""",32129
ощадбанк,32129
ощадний банк україни в м.свердловськ,32129
"твбв № 10007/0261 філія запорізького обласного управління ат ""ощадбанк""",32129
ощадний банк №6581,32129
"філія-житомирське обласне управління публічного акціонерного товариства ""державний ощадний банк україни""",32129
"твбв №10022/064 філії -хмельницьке обласне управління ат ""ощадбанк""",32129
"філія оу ат""ощадбанк"" м.дніпро",32129
"пат ""державний ощадний банк україни"", філія хоу твбв №10022/0100",32129
державний ощадний банк україни,32129
"твбв 10024/170 філія чоуат ""ощадбанк""",32129
"ат ""ощадбанк"" філія м. києва",32129
"твбв №10007/0265 філія запорізького обласного управління ат ""ощадбанк""",32129
"твбв №10018/019 фсоу ат ""ощадбанк""",32129
"львівське обласне управління ат ""ощадний банк""",32129
"твбв №10015/0358 ат ""ощадбанк""",32129
"філія чернігівське облуправління ат ""ощадбанк""",32129
пат дерхавний ощадний банк украини,32129
"філія хмельницького обалного управління ат ""ощадбанк""",32129
"філія головного управління по м.києву та київській області пат ""державний ощадний банк україни""",32129
"філія - запорізьке обласне управління ат ""ощадбанк"", відділення № 10007/0348",32129
"філія запорізьке обласне управління ат ""ощадбанк""",32129
чоу ощадбанк м. черкаси,32129
біляївське відділення ощадбанк,32129
ф харківського ощадбанку,32129
"радивилівське твбв №10017/129 ""ощадбанк",32129
твбв №10018/0138 філії - сумське обласне управління ощадбанк,32129
"філія херсонське обласне управління пат ""державний ощадний банк україни""",32129
"філія запорізьке обласне управління пат""державний ощадний банк україни""",32129
"філія чернігівське обласне управління ат ""ощадбанк """,32129
"львівське обласне управління ат ""ощадбанк"" (твбв 10013/0226)",32129
"ат''ощадбанк""",32129
"твбв №10013/0179 флоу ат ""ощадбанк""",32129
"зоу ат ""ощадбанк"" філія твбв № 1007/0261",32129
снятинське відділення ощадбанк,32129
"філія - івано-франківське обласне управління ат ""ощадбанк""",32129
"твбв № 10010/0149 філія - кіровоградське обласне управління ат ""ощадбанк""",32129
твбв мукачівська філія зоу ат державний ощадний банк,32129
філія івано-франківське обласне управління ат ощадбанк,32129
"гайсинський ""ощадбанк""",32129
"тв бв №10007/0337 зоу ат "" ощадбанк""",32129
філія херсонське обласне управління пат державний ощадний банк україни,32129
"чернівецьке регіональне управління ат ""ощадбанк""",32129
виноградівське відділення ощадбанку,32129
"богородчанське твбв ""ощадбанк""",32129
"твбв №10026/0583 філії гу по місту києві та київській області ""ат""ощадбанк""",32129
ат ощадбанк філія чернівецьке облуправління твбв 10025/048,32129
"павлоградське відділення ат"" державний ощадний банк""",32129
"ат ""ощадбанк"", переукладений з попередніх років, закритий у 2015 році",32129
"ат ""ощадбанк"" м.дрогобич",32129
крижопільський ощадний ьанк,32129
пат державний ощадний банк україна,32129
твбв 10003/0407 ощадбанк,32129
"ф-я волинське оу ат ""ощадбанк""",32129
пат державний ощадний банк україни філія-вінницьке обласне управління твбв № 10001/0111,32129
хоу ват ощадбанк,32129
"відділення ат ""ощадбанк""",32129
"твбв №10026/0594 пат ""ощадбанк""",32129
"твбв №10024/159 філія чернігівського обл.управління ат ""ощадбанк""",32129
"твбв № 10007/0207 філії зоу ат ""ощадбанк""",32129
"твбв 10007/0239 філії ат""ощадбанк""",32129
"ат ""ощадбанк"" твбв №10026/066",32129
"пат""державний ощадний банк україни"", філія - чернігівське обласне управління твбв №10024/082",32129
"твбв №10017/0106 філії - рівненське обласне управління ат ""ощадбанк""",32129
"харківське оу ат ""ощадбанк""",32129
ощадний державний банк,32129
філія - рівненське обласне управління ат ощадбанк,32129
філія вінницьке обласне управління ат ощадбанк твбв 10001/0166 м. калинівка,32129
"філія головного управління по м.києву та киівській області пат ""державний ощадний банк украіни""",32129
"публічне акціонерне товариство ""державний ощадний банк україни"" твбв №10013/0179 філії львівського обласного управління ат ""ощадбанк""",32129
"твбв 1007/0339 ф-я ват ""державний ощадний банк україни""",32129
"філія лисянського відділення №2971 ват ""ощадбанк""",32129
"ват ""ощадбанк""",32129
"фiлiя - миколаївське обласне управлiння публічного акцiонерного товариства ""державний ощадний банк україни""",32129
"ат ""державний ощадбанк""",32129
"пат ""державний ощадбанк""",32129
"територіально відокремлене безбалансове відділення №10025/0181 філії - чернівецького обласного управління публічного акціонерного товариства ""державний ощадний банк україни""",32129
"пат ""добу"" філія чоу твбв №10025/0180 ат ""ощадбанк""",32129
публічного акцiонерного товариства державний ощадний банк україни,32129
"твбв №10010/098 фiлiї - кіровоградського обласного управління ат ""ощадбанк""",32129
"філія-полтавське обласне управління ат ""ощадбанк""",32129
"болградське відділення №6777 ват""ощадбанку""",32129
"твбв №10001/0192 філії-вінницьке обласне управління ат ""ощадбанк""",32129
"пат ""державний ощадний банк україни"", 48 відділення м.суми",32129
"твбв №10002/089, філії воу пат ""державний ощадний банк україни""",32129
"твбв №10005/029 філія - житомирське обласне управління ат ""ощадбанк""",32129
"твбв №10023/0201 філії - черкаського обласного управління ат ""ощадбанк""",32129
"територіально відокремлене безбалансове відділення № 10023/0391 ат ""ощадбанк"" в м. сміла",32129
"державний ощадний банк україни відкрите акціонерне товариство філія - чернігівське обласне управління ат ""ощадбанк""",32129
"закарпатське обласне управління пат ""державний ощадний банк україни""",32129
"твбв №10002/0131 філії - волинського обласного управління ат ""ощадбанк""",32129
"""ощадбанк"" твбв №10007/246",32129
"твбв № 10018/0145 філії-сумського облуправління ат ""ощадбанк""",32129
"черкаське обласне управління ат ""ощадбанк""",32129
"ат ""ощадбанк""""",32129
"ват ""державний ощадний банк україний""",32129
"твбв № 10007\0265 філії запорізького обласного управління ат ""ощадбанк""",32129
твбв-ощадбанк 10018/065 м.лебедин,32129
"твбв № 10023/017 фiлiї - черкаського обласного управління ат ""ощадбанк""",32129
"філія львівське оуат""ощадбанк""",32129
"державний ощадний банк україни, гребінківське відділення полтавської області",32129
"пат ""державний ощадний банк україни"" філія закарпатське обласне управління твбв",32129
атощадбанк,32129
"пат ""державний ощадний банк україни"" ,філія-івано-франківське обласне управління твбв №10008/0143",32129
філія донецького обласного управління ао ощадбанк,32129
"диканське відділення ""ощадбанк""",32129
"філія-зборівське відділення №6357 ват ""державний ощадний банк україни""",32129
"флоу пат ""державний ощадний банк""",32129
чернігівська філія ат ощадбанк твбв 10024/0103,32129
ощадбанк україни (ощадбанк срср),32129
миколаївське обласне ат ощад м. миколаїв,32129
"пат ""державний ощадний банк україни"" твбв №10018/0145 філії -сумського обласного управління ат ""ощадбанк""",32129
"філія тернопільське оу ат "" ощадбанк""",32129
"філія-зоу ат ""ощадбанк"" твбв №10007/0207",32129
публічне ат державний ощадний банк україни,32129
атощад м.львів,32129
"філія-житомирське обласне управління ат ""ощадбанк""",32129
"пат ""державний ощадний банк україни"" філія-кіровоградське обласне управління ат ""ощадбанк""",32129
"філія вінницьке оу ат ""ощадбанк""",32129
ф сумське обласне управління ат ощадбанк,32129
відділення № 5396/0198 ощадбанку,32129
"вінницьке обл. управління ват ""ощадбанк""",32129
"рівненське обласне управління ат ""державний ощадний банк україни""",32129
"пат ""державний ощадбанк україни""",32129
"твбв № 10012/087 філії - луганського обласного управління ат ""ощадбанк",32129
вінницька філія пат ощадбанк,32129
"херсонське облуправління ат ""ощадбанк""",32129
"філія черкаського обласного управління ат ""ощадбанк""",32129
"твбв ""ощадбанк №3033""",32129
ощадбвнк,32129
філія хоу ат ощадбанк пат державний ощадний банк україни,32129
широківське відділення ощадбанку,32129
"твбв №10008/0110 брошнів філії івано франківського обласного управління ат ""ощадбанк""",32129
оу ат ощадбанк,32129
пат державний ощадний банк україни філія харківське обласне управління,32129
воловецьке відділення ощадбанку,32129
"фiлiя - львiвське обласне управлiння ат ""ощадбанк""",32129
"хоу ват ""держощадбанк україни""",32129
"філія полтавське обласне управління ат ""ощадбанк""",32129
державний ощадний банк україни відділення в м.марганеці,32129
"пат ""державний ощадний банк україни"" філія - запорізьке обласне управління",32129
"пат""ощадбанк""",32129
"ат ""ощадний державний банк україни""",32129
"пат ""державний ощадний банк україни"" твбв №10026/0148",32129
"пао ""ощадбанк""",32129
"сумське обласне управління ат ""ощадбанк""",32129
"твбв №10012/0164 філії лоуат ""ощадбанк""",32129
ощадбанк 6707,32129
"філія-чернігівське обласне управління публічного акціонерного товаривства ""державний ощадний банк україни""",32129
"твбв №10026/0805 філії гу по м.києву та київській області ат ""ощадбанк""",32129
"до ват ""ощадбанк"" твбв№10004/271",32129
"твбв №10012/0159 філії луганського обласного управління ат ""ощадбанк""",32129
пат державний ощадний банк украіни.філія- миколаівське обласне управління твбв №10014/060,32129
"фiлiя - головне управлiння по м. києву та київськiй областi публічного акцiонерного товариства ""державний ощадний банк україни""",32129
ват держощадбанк,32129
твбв № 10020/0365 філія харківського обласного управління ат ощадбанк,32129
"черкаська філія ат ""ощадбанк""",32129
ощад.банк,32129
"твбв № 10026/0741 філії - гу по м. києву та київській обл. ат ""ощадбанк""",32129
кіцманське відділення ощадбанку,32129
"філія- вінницке оу ат ""ощадбанк""",32129
"ат кб ""ощадбанк""",32129
"пат "" державний ощадний банк україни """,32129
"пат ""державний ощадний банк"" твбв 10026/0795",32129
"філія харківського обласного управління ат ""ощадбанк"" №10020/0360 м. харків",32129
"філія рівненске оу ат""ощадбанк"" м.рівне",32129
"гу по м. києву та київській обл. ат ""ощадбанк""",32129
"ощадбанк, укргазбанк",32129
"фхоу пат ""ощадбанк""",32129
"ф воу ат ""ощадбанк""",32129
городоцьке відділення ощадного банку укаїни в хмельницькій області,32129
"територіально відокремлене безбалансове відділення №10013/03 філії львівського обласного управління пат ""державний ощадний банк україни""",32129
"філія-рівненське обласне управління публічного акціонерного товариства ""державний ощадний банк україни""",32129
ат ощадбанк мцо 356334,32129
твбв №10019/034 ощадбанк,32129
"філія - яворівське відділення № 6334 відкритого акціонерного товариства ""державний ощадний банк україни""",32129
