Українська Народна Партія,The Ukrainian People's Party,,,,The Ukrainian People's Party,,
«Народна партія вкладників та соціального захисту»,"""The people's party of depositors and social protection""",,,,The people's party of depositors and social protection,,
Партія «Соціалістична Україна»,"The Party of ""Socialist Ukraine""",,,,"Part ""Socialistic Ukraine""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕТА СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""BETA SOLAR""",,,,"LIMITED LIABILITY COMPANY ""BETA SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 5""","SOCIETY WITH LIMITED LIABILITY ""CRIME SOLAR 5""",,,,"LIMITED LIABILITY COMPANY ""CRIMEA SOLAR 5""",,
"ТОВ ""КРАЙМІА СОЛАР 5""","LLC ""CRIMEA SOLAR 5""",,,,"LLC ""CRIMEA SOLAR 5""",,
"Сонячна електростанція ""Охотникове""","Solar power plant ""Okhotnikov""",,,,"Solar power plant ""Okhotnikove""","Solar power plant ""Okhotnikovo""",
СЕС «Охотникове»,"SES ""Okhotnikov""",,,,"SPP ""Okhotnikovo""","SPP ""Okhotnikove""",
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТАНТАЛІТ""","SOCIETY WITH LIMITED LIABILITY ""TANTALITE""",,,,"LLC ""Tantalite""",,
"ТОВ ""ТАНТАЛІТ""","LLC ""TANTALITE""",,,,"LLC ""TANTALITE""",,
"Сонячна електростанція ""Приозерна""",Solar power plant lake,,,,"Solar power plant ""Priozerna""",,
"СЕС ""Приозерна""","SES ""lakeside""",,,,"SPP ""Priozerna""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВУНІВЕРСАЛСЕРВІС""","SOCIETY WITH LIMITED LIABILITY ""CIVILIS""",,,,"LLC ""Kyivuniversalservis""",,
"ТОВ ""КУС""","LLC ""KUS""",,,,"LLC ""KUS""",,
"Сонячна електростанція ""Вознесенськ""",Solar power the Voznesensk,,,,"Solar power plant ""Voznesensk""",,
"СЕС ""Вознесенськ""",SES the Voznesensk,,,,"SES ""Voznesensk""",,
Activ Solar GmbH,Activ Solar GmbH,,,,Activ Solar GmbH,,
"Сонячна електростанція ""Перово""","Solar power station ""Perovo""",,,,"Solar power station ""Perovo""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬФА СОЛАР""","THE LIMITED LIABILITY COMPANY ""ALFA SOLAR""",,,,"LIMITED LIABILITY COMPANY ""ALFA SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОУЗІЛ СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""OIL SOLAR""",,,,"LIMITED LIABILITY COMPANY ""OUZIL SOLAR""",,
"ТОВ ""ОУЗІЛ СОЛАР""","LLC ""OIL SOLAR""",,,,"LLC ""OUZI SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОМАО СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""OMAO SOLAR""",,,,"LIMITED LIABILITY COMPANY ""OMAO SOLAR""",,
"ТОВ ""ОМАО СОЛАР""","LLC ""OMAO SOLAR""",,,,"LLC ""OMAO SOLAR""",,
Aurina Commercial Ltd,Aurina Commercial Ltd,,,,Aurina Commercial Ltd,,
"Приватне акціонерне товариство ""Дельта Солар""","Private joint stock company ""Delta solar""",,,,"Private joint stock company ""Delta solar""",,
"ПрАТ ""Дельта Солар""","PJSC ""Delta Solar""",,,,"PJSC ""Delta Solar""",,
"Сонячна електростанція ""Родникове""","Solar power plant ""spring""",,,,"Solar power plant ""Rodnykove""",,
"СЕС ""Родникове""","SES ""spring""",,,,"SPP ""Rodnykove""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАЙМІА СОЛАР 1""","SOCIETY WITH LIMITED LIABILITY ""CRIME SOLAR 1""",,,,"LIMITED LIABILITY COMPANY ""CRIMEA SOLAR 1""",,
"ТОВ ""КРАЙМІА СОЛАР 1""","LLC ""CRIMEA SOLAR 1""",,,,"LLC ""CRIMEA SOLAR 1""",,
Hyperion Netherlands B.V.,Hyperion Netherlands B. V.,,,,Hyperion Netherlands B. V.,,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОСПРІЙ СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""OSPRI SOLAR""",,,,"LIMITED LIABILITY COMPANY ""OSPREY SOLAR""",,
"ТОВ ""ОСПРІЙ СОЛАР""","LLC ""OSPRI SOLAR""",,,,"LLC ""OSPREY SOLAR""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАПЕЛЛА СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""CHAPEL of SOLAR""",,,,"LIMITED LIABILITY COMPANY ""CAPELLA SOLAR""",,
"ТОВ ""КАПЕЛЛА СОЛАР""","LLC ""CHAPEL of SOLAR""",,,,"LLC ""CAPELLA SOLAR""",,
Політична партія «Наша Україна»,"Political party ""Our Ukraine""",,,,"Political party ""Our Ukraine""",,
Громадянська партія «ПОРА»,"Civic party ""PORA""",,,,"Civic Party ""PORA""",,
Політична партія «Громадянська позиція»,"Political party ""Civil position""",,,,"Political Party ""Civil position""","Political Party ""Hromadyanska pozyciya""",
Республіканська Партія України,The Republican Party of Ukraine,,,,Republican Party of Ukraine,,
Політична партія «Нова демократія»,"Political party ""New democracy""",,,,"Political Party ""New Democracy""",,
Партія Народної Дії «НАДІЯ»,"The people's Action party ""NADEZHDA""",,,,"The people's Action party ""HOPE""","The people's Action party ""NADIYA""",
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОРІОЛ СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""ORIOL SOLAR""",,,,"LIMITED LIABILITY COMPANY ""ORIOL SOLAR""",,
"ТОВ ""ОРІОЛ СОЛАР""","LLC ""ORIOL SOLAR""",,,,"LLC ""ORIOL SOLAR""",,
Політичне об’єднання «Рідна Вітчизна»,"Political Association ""Native land""",,,,"Political Association ""Native land""",,
Політична партія «Молодь до ВЛАДИ»,"Political party ""Youth to POWER""",,,,"Political Party ""Youth to POWER""","Political Party ""Molod do Vlady""",
Політична партія «Воля»,"Political party ""Freedom""",,,,"Political Party ""Freedom""","Political Party ""Volia""",
Радикальна Партія Олега Ляшка,Radical Party of Oleg Liashko,,,,Radical Party of Oleg Liashko,,
Політична партія «Козацька Народна Партія»,"Political party ""Cossack people's Party""",,,,"Political party ""Cossack People's Party""",,
ПОЛІТИЧНА ПАРТІЯ «НОВЕ ЖИТТЯ»,"POLITICAL PARTY ""NEW LIFE""",,,,"POLITICAL PARTY ""NEW LIFE""","POLITICAL PARTY ""NOVE ZHYTTYA""",
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДУНАЙСЬКА СЕС-1""","THE LIMITED LIABILITY COMPANY ""DANUBE SES-1""",,,,"LIMITED LIABILITY COMPANY ""DUNAYSKA SES-1""","LIMITED LIABILITY COMPANI ""DANUBE SES-1""","LIMITED LIABILITY COMPANY ""DANUBE SES-1"""
"ТОВ ""ДУНАЙСЬКА СЕС-1""","LLC ""DANUBE SES-1""",,,,"LLC ""DUNAYSKA SES-1""","LLC ""DANUBE SES-1""",
"Сонячна електростанція ""Лиманська""","Solar power plant ""Liman""",,,,"Solar power plant ""Lymanska""",,
"СЕС ""Лиманська""","SES ""Liman""",,,,"SPP ""Lymanska""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛИМАНСЬКА ЕНЕРДЖИ 2""","SOCIETY WITH LIMITED LIABILITY ""LIMANSKY ENERGY 2""",,,,"LIMITED LIABILIY COMPANY ""LIMANSKAYA ENERGY 2"" ",,
"ТОВ ""ЛИМАНСЬКА ЕНЕРДЖИ 2""","LLC ""LIMANSKY ENERGY 2""",,,," ""LIMANSKAYA ENERGY 2"" LLC",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛИМАНСЬКА ЕНЕРДЖИ 1""","SOCIETY WITH LIMITED LIABILITY ""LIMANSKY ENERGY 1""",,,,"LIMITED LIABILIY COMPANY ""LIMANSKAYA ENERGY 1"" ",,
"ТОВ ""ЛИМАНСЬКА ЕНЕРДЖИ 1","LLC ""LIMANSKY ENERGY 1",,,,"""LIMANSKAYA ENERGY 1"" LLC",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СПС-ГРУП""","SOCIETY WITH LIMITED LIABILITY ""SPS-GROUP""",,,,"LIMITED LIABILIY COMPANY ""SPS-GROUP""",,
"ТОВ""СПС-ГРУП""","LLC""SPS-GROUP""",,,,"LLC""SPS-GROUP""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАРІОН СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""THE CLARION SOLAR""",,,,"LIMITED LIABILIY COMPANY ""CLARION SOLAR""",,
"ТОВ ""КЛАРІОН СОЛАР""","LTD. ""THE CLARION SOLAR""",,,,"""THE CLARION SOLAR"" LLC",,
"Приватне акціонерне товариство ""LTD. ""THE CLARION SOLAR""""","Private joint stock company ""OWL SOLAR""",,,,"PRIVATE JOINT-STOCK COMPANY ""OWL SOLAR""",,
"ПрАТ ""ОУЛ СОЛАР""","PJSC ""OWL SOLAR""",,,,"PJSC ""OWL SOLAR""",,
Helios Netherlands B.V.,Helios Netherlands B. V.,,,,Helios Netherlands B. V.,,
"Сонячна електростанція ""Старокозача""","Solar power plant ""Starokozache""",,,,"Solar Power Plant ""Starokozacha""",,
"СЕС ""Старокозача""","SES ""Starokozache""",,,,"SPP ""Starokozacha""",,
Alter Domus Nederland B.V.,Alter Domus Nederland B. V.,,,,Alter Domus Nederland B. V.,,
Alter Domus Participations S.A.R.L.,Alter Domus Participations S. A. R. L.,,,,Alter Domus Participations S. A. R. L.,,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФРАНКО ПІВІ""","SOCIETY WITH LIMITED LIABILITY ""FRANCO PEAVY""",,,,"LIMITED LIABILIY COMPANY ""FRANCO PIVI""",,
" ТОВ ""ФРАНКО ПІВІ"" "," LLC ""FRANCO PEAVY"" ",,,,"LLC ""FRANCO PIVI""",,
Українська партія «Зелена планета»,"Ukrainian party ""Green planet""",,,,"Ukrainian Party ""Green planet""","Ukrainian Party ""Zelena Planeta""",
Партія Труда,The Labor Party,,,,Labor Party,,
Партія «Громадянська солідарність»,"The party ""Civil solidarity""",,,,"Pparty ""Civil Solidarity""",,
Партія Сергія Тігіпка «Сильна Україна»,"The Party Sergey Tigipko ""Strong Ukraine""",,,,"Party Sergey Tigipko ""Strong Ukraine""",,
Політична партія «Європейська платформа»,"Political party ""European platform""",,,,"Political Party ""European platform""",,
Українська Консервативна партія,Ukrainian Conservative party,,,,Ukrainian Conservative Party,,
Політична партія «Совість України»,"Political party the ""Conscience of Ukraine""",,,,"Political Party ""Conscience of Ukraine""","Political Party ""Sovist Ukrainy""",
Політична партія «Справедлива Україна»,"Political party ""Fair Ukraine""",,,,"Political party ""Fair Ukraine""","Political party ""Chesna Ukraina""",
Партія «СЕЛЯНСЬКИЙ БЛОК АГРАРНА УКРАЇНА»,"Party ""PEASANT AGRARIAN UKRAINE""",,,,"Party ""PEASANT BLOCK AGRARIAN UKRAINE""",,
Політична партія «СПІЛЬНА ДІЯ»,"Political party ""COMMON ACTION""",,,,"Political Party ""COMMON ACTION""","Political Party ""SPILNA DIYA""",
"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІЗЮМСЬКИЙ ПРИЛАДОБУДІВНИЙ ЗАВОД""","State ENTERPRISE ""IZIUM INSTRUMENT-MAKING PLANT""",,,,"State ENTERPRISE ""IZYUM INSTRUMENT-MAKING PLANT""",,
Демократична партія угорців України,The democratic party of Hungarians of Ukraine,,,,The Democratic Party of Hungarians of Ukraine,,
Політична партія «Україна Соборна»,"Political party ""Cathedral Ukraine""",,,,"Political Party ""Cathedral Ukraine""","Political party ""Ukraina Soborna""",
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОРІОН СОЛАР""","THE LIMITED LIABILITY COMPANY ""ORION SOLAR""",,,,"LIMITED LIABILITY COMPANY ""ORION SOLAR""",,
"ТОВ ""ОРІОН СОЛАР""","LLC ""ORION SOLAR""",,,,"LLC ""ORION SOLAR""",,
"Сонячна електростанція ""Дунайська""","Solar power station ""Danube""",,,,"Solar Power Station ""Danube""","Solar Power Station ""Dunayska""",
Політична партія «Мерітократична партія України»,"Political party ""the Meritocratic party of Ukraine""",,,,"Political Party ""Meritocratic Party of Ukraine""",,
"Політична партія ""Міст""","Political party ""the Bridge""",,,,"Political Party ""Bridge""","Political party ""Mist""",
Політична партія «Всеукраїнське аграрне об’єднання «Заступ»,"Political party ""all-Ukrainian agrarian Association ""Spade""",,,,"Political Party ""All-Ukrainian agrarian Association ""Spade""",,
ПОЛІТИЧНА ПАРТІЯ «УСПІШНА КРАЇНА»,"POLITICAL PARTY ""SUCCESSFUL COUNTRY""",,,,"POLITICAL PARTY ""SUCCESSFUL COUNTRY""",,
Політична партія «Інтернет партія України»,"Political party ""Internet party of Ukraine""",,,,"Political Party ""Internet Party of Ukraine""",,
"Політична партія ""Наш край""","Political party ""Our land""",,,,"Political party ""Our Land""",,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДУНАЙСЬКА СЕС-2""","THE LIMITED LIABILITY COMPANY ""DANUBE SES-2""",,,,"LIMITED LIABILITY COMPANY ""DUNABE SES-2""","LIMITED LIABILITY COMPANY ""DUNAYSKA SES-2""",
"ТОВ ""ДУНАЙСЬКА СЕС-2""","LLC ""DANUBE SES-2""",,,,"LLC ""DUNABE SES-2""",,
Paradocs Bis S.A.R.L.,Paradocs Bis S. A. R. L.,,,,Paradocs Bis S. A. R. L.,,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФРАНКО СОЛАР""","SOCIETY WITH LIMITED LIABILITY ""FREE SOLAR""",,,,"LIMITED LIABILITY COMPANY ""FRANCO SOLAR""",,
"ТОВ ""ФРАНКО СОЛАР""","LTD. ""FREE SOLAR""",,,,"LLC ""FRANCO SOLAR""",,
Paradocs Ter S.A.R.L.,Paradocs Ter S. A. R. L.,,,,Paradocs Ter S. A. R. L.,,
"Сонячна електростанція ""Миколаївка""","Solar power plant ""Mykolaivka""",,,,"Solar power plant ""Mykolaivka""",,
"СЕС ""Миколаївка""","SES ""Mykolaivka""",,,,"SPP ""Mykolaivka""",,
"Сонячна електростанція ""Мітяєво""","Solar power plant ""completed to date""",,,,"Solar power plant ""Mityaevo""",,
"СЕС ""Мітяєво""","SES ""completed to date""",,,,"SPP ""Mityaevo""",,
